Date,Open,High,Low,Close,Volume,Market Cap
"Jan 08, 2018",0.089489,0.091329,0.063583,0.078621,"161,362,000","2,809,610,000"
"Jan 07, 2018",0.09834,0.100931,0.085359,0.091676,"195,631,000","3,087,510,000"
"Jan 06, 2018",0.071896,0.111708,0.066976,0.094008,"612,913,000","2,257,270,000"
"Jan 05, 2018",0.039789,0.075377,0.039789,0.070152,"227,731,000","1,249,230,000"
"Jan 04, 2018",0.033006,0.043633,0.031417,0.039108,"116,332,000","1,036,250,000"
"Jan 03, 2018",0.030763,0.03303,0.028159,0.032952,"34,555,700","965,822,000"
"Jan 02, 2018",0.030902,0.031579,0.027345,0.030722,"40,687,600","970,196,000"
"Jan 01, 2018",0.030113,0.03116,0.028484,0.03077,"17,306,300","945,419,000"
"Dec 31, 2017",0.02845,0.031345,0.028247,0.03035,"26,400,000","893,234,000"
"Dec 30, 2017",0.032375,0.032813,0.025768,0.028885,"37,034,600","1,016,450,000"
"Dec 29, 2017",0.028694,0.034135,0.027574,0.032217,"54,244,900","900,884,000"
"Dec 28, 2017",0.028981,0.029537,0.024837,0.028699,"40,773,000","909,884,000"
"Dec 27, 2017",0.029426,0.031848,0.026799,0.028969,"94,351,500","923,851,000"
"Dec 26, 2017",0.027575,0.03233,0.024311,0.02956,"89,684,300","865,745,000"
"Dec 25, 2017",0.034765,0.038733,0.026515,0.028021,"93,218,700","1,091,480,000"
"Dec 24, 2017",0.02919,0.033807,0.025087,0.033807,"77,247,000","916,454,000"
"Dec 23, 2017",0.019476,0.033568,0.019404,0.028472,"97,877,700","611,460,000"
"Dec 22, 2017",0.024909,0.025769,0.01405,0.01919,"42,826,200","782,029,000"
"Dec 21, 2017",0.023688,0.030454,0.022002,0.025061,"77,805,700","743,707,000"
"Dec 20, 2017",0.016105,0.025972,0.013495,0.023979,"97,997,000","505,644,000"
"Dec 19, 2017",0.01662,0.01761,0.014884,0.01619,"27,907,300","521,817,000"
"Dec 18, 2017",0.01634,0.017988,0.013833,0.016599,"28,351,400","513,025,000"
"Dec 17, 2017",0.013016,0.019238,0.012938,0.016413,"64,991,300","408,662,000"
"Dec 16, 2017",0.010707,0.01357,0.010614,0.013103,"16,247,000","336,148,000"
