"","Bitcoin","Dash","Ethereum","Litecoin","Monero","NEM","Ripple","Siacon","Stellar","Verge"
"2015-08-26",225.83,2.61,1.16,2.95,0.496679,9e-05,0.007492,4.1e-05,0.002035,1.5e-05
"2015-08-27",224.77,2.56,1.15,2.87,0.465475,9.7e-05,0.007551,4.3e-05,0.002005,1.6e-05
"2015-08-28",231.4,2.6,1.19,2.91,0.481627,9.3e-05,0.007433,3.9e-05,0.002354,1.4e-05
"2015-08-29",229.78,2.6,1.18,2.88,0.47655,9.6e-05,0.007751,3.4e-05,0.002577,1.4e-05
"2015-08-30",228.76,2.56,1.32,2.85,0.459009,0.000104,0.00805,3.2e-05,0.002363,1.6e-05
"2015-08-31",230.06,2.58,1.36,2.84,0.467238,9.4e-05,0.007884,3e-05,0.002479,1.4e-05
"2015-09-01",228.12,2.54,1.35,2.82,0.458517,1e-04,0.007815,3e-05,0.002435,1.4e-05
"2015-09-02",229.28,2.51,1.29,2.8,0.468083,8.8e-05,0.0077,2.8e-05,0.002423,1.4e-05
"2015-09-03",227.18,2.47,1.26,2.63,0.45929,8.9e-05,0.007431,2.5e-05,0.002377,1.4e-05
"2015-09-04",230.3,2.45,1.27,2.7,0.467874,9.7e-05,0.007355,2.5e-05,0.002321,1.6e-05
"2015-09-05",235.02,2.51,1.34,2.92,0.481594,8.6e-05,0.00786,2.4e-05,0.002476,1.4e-05
"2015-09-06",239.84,2.49,1.3,3.05,0.505111,9.6e-05,0.007891,2.9e-05,0.002527,1.7e-05
"2015-09-07",239.85,2.38,1.25,3.05,0.499452,9.6e-05,0.007918,4.3e-05,0.002452,1.4e-05
"2015-09-08",243.61,2.33,1.24,3.05,0.517402,9.9e-05,0.007831,7.8e-05,0.0023,1.2e-05
"2015-09-09",238.17,2.44,1.21,2.92,0.506011,9e-05,0.007678,4.8e-05,0.002195,1.4e-05
"2015-09-10",238.48,2.38,1.17,2.95,0.497247,9.1e-05,0.007663,4.8e-05,0.002208,1.7e-05
"2015-09-11",240.11,2.38,0.982978,2.96,0.495325,9.4e-05,0.008444,4.3e-05,0.002231,1.6e-05
"2015-09-12",235.23,2.43,1.04,2.83,0.465473,8.7e-05,0.008197,3.3e-05,0.002239,1.5e-05
"2015-09-13",230.51,2.34,0.936003,2.82,0.462865,9e-05,0.008532,3.5e-05,0.002158,1.6e-05
"2015-09-14",230.64,2.31,0.875622,2.84,0.482289,9e-05,0.007404,3.5e-05,0.002139,1.5e-05
"2015-09-15",230.3,2.32,0.94441,2.82,0.502379,9.9e-05,0.00772,3.5e-05,0.002183,1.4e-05
"2015-09-16",229.09,2.37,0.907175,2.8,0.509974,0.000106,0.007426,3e-05,0.002159,1.5e-05
"2015-09-17",229.81,2.37,0.874231,2.91,0.494782,0.000108,0.007372,3e-05,0.002228,1.4e-05
"2015-09-18",232.97,2.46,0.853685,2.96,0.50044,1e-04,0.007529,3e-05,0.002243,1.4e-05
"2015-09-19",231.49,2.36,0.882391,2.87,0.496418,0.000102,0.007482,2.8e-05,0.002295,1.4e-05
"2015-09-20",231.21,2.39,0.938445,2.85,0.485971,1e-04,0.007637,2.8e-05,0.002223,1.6e-05
"2015-09-21",227.09,2.35,0.919047,2.8,0.480452,0.000102,0.007247,3e-05,0.002142,1.4e-05
"2015-09-22",230.62,2.46,0.901796,2.84,0.471829,0.00013,0.007168,3.2e-05,0.002138,1.5e-05
"2015-09-23",230.28,2.43,0.893406,2.87,0.464606,0.00012,0.006668,3.2e-05,0.002082,1.4e-05
"2015-09-24",234.53,2.44,0.81361,2.93,0.468678,0.000116,0.00671,3.3e-05,0.002058,1.4e-05
"2015-09-25",235.14,2.45,0.736223,2.89,0.451515,0.000134,0.00665,3.1e-05,0.002056,1.6e-05
"2015-09-26",234.34,2.33,0.785964,2.89,0.445105,0.000131,0.006501,3.3e-05,0.002071,1.6e-05
"2015-09-27",232.76,2.36,0.720839,2.87,0.43771,0.00013,0.006536,3e-05,0.002067,1.4e-05
"2015-09-28",239.14,2.38,0.582886,3.07,0.448998,0.000139,0.006293,2.9e-05,0.002091,1.7e-05
"2015-09-29",236.69,2.34,0.661146,2.97,0.435817,0.000149,0.005579,2.8e-05,0.002055,1.6e-05
"2015-09-30",236.06,2.34,0.738644,3.01,0.399882,0.000151,0.00552,2.8e-05,0.001985,1.4e-05
"2015-10-01",237.55,2.29,0.690215,3,0.404696,0.000175,0.005448,2.9e-05,0.002224,1.7e-05
"2015-10-02",237.29,2.22,0.678574,2.99,0.409897,0.000149,0.005868,2.8e-05,0.002076,1.5e-05
"2015-10-03",238.73,2.17,0.687171,3.03,0.409928,0.000127,0.005517,2.6e-05,0.002013,1.6e-05
"2015-10-04",238.26,2.17,0.668379,3.01,0.400312,0.000122,0.005236,2.9e-05,0.002051,1.7e-05
"2015-10-05",240.38,2.34,0.628643,3.02,0.416151,0.000119,0.005008,2.9e-05,0.001989,1.5e-05
"2015-10-06",246.06,2.39,0.650645,3.15,0.411378,0.000123,0.005328,2.7e-05,0.002077,1.2e-05
"2015-10-07",242.97,2.4,0.609388,3.06,0.393186,0.000136,0.005375,2.7e-05,0.002075,1.2e-05
"2015-10-08",242.3,2.38,0.621716,3.06,0.387872,0.000118,0.005031,3.1e-05,0.001996,1.2e-05
"2015-10-09",243.93,2.36,0.650628,3.11,0.397329,0.000117,0.004983,3.2e-05,0.002121,1.2e-05
"2015-10-10",244.94,2.43,0.627857,3.11,0.387789,0.000112,0.005037,2.9e-05,0.002084,1.4e-05
"2015-10-11",247.05,2.39,0.634963,3.15,0.380724,0.000109,0.005182,3.5e-05,0.00211,1.4e-05
"2015-10-12",245.31,2.34,0.62603,3.14,0.395317,0.000117,0.00526,3.7e-05,0.002031,1.4e-05
"2015-10-13",249.51,2.35,0.607655,3.18,0.388015,0.000119,0.005377,4e-05,0.002101,1.2e-05
"2015-10-14",251.99,2.32,0.522968,3.14,0.384266,0.000116,0.005418,3.5e-05,0.001915,1.3e-05
"2015-10-15",254.32,2.25,0.561878,3.1,0.390841,0.000113,0.005399,3.8e-05,0.001934,1.3e-05
"2015-10-16",262.87,2.34,0.536495,3.11,0.411511,0.000117,0.005398,4.5e-05,0.001936,1.3e-05
"2015-10-17",270.64,2.43,0.547178,3.07,0.426942,0.000124,0.005203,4.3e-05,0.001986,1.4e-05
"2015-10-18",261.64,2.37,0.517734,3.02,0.409797,0.000124,0.004979,5e-05,0.001972,1.3e-05
"2015-10-19",263.44,2.34,0.489014,3.05,0.403212,0.000108,0.005043,5e-05,0.001933,1.4e-05
"2015-10-20",269.46,2.41,0.434829,3.09,0.399646,0.000117,0.004731,4e-05,0.00187,1.1e-05
"2015-10-21",266.27,2.28,0.447329,3.08,0.394597,0.000117,0.004697,4.5e-05,0.001975,1.3e-05
"2015-10-22",274.02,2.41,0.567702,3.11,0.403236,0.000118,0.004723,4.1e-05,0.001957,1.5e-05
"2015-10-23",276.5,2.33,0.539657,3.11,0.393922,0.000119,0.004677,4.1e-05,0.001956,1.4e-05
"2015-10-24",281.65,2.24,0.56359,3.1,0.395808,0.000123,0.004662,3.9e-05,0.001923,1.4e-05
"2015-10-25",283.68,2.17,0.616039,3.07,0.407067,0.000119,0.004556,3.4e-05,0.001886,1.4e-05
"2015-10-26",285.3,2.24,0.731317,3.1,0.38796,0.000114,0.004675,3.4e-05,0.00186,1.1e-05
"2015-10-27",293.79,2.1,0.869641,3.09,0.409574,0.000117,0.004649,3.5e-05,0.001997,1.4e-05
