"","Bitcoin","Dash","Ethereum","Litecoin","Monero","NEM","Ripple","Siacon","Stellar","Verge"
"2015-08-26",5.41978250382921,0.959350221334602,0.148420005118273,1.08180517035173,-0.699811336804291,-9.31570088763401,-4.8939194944003,-10.10193849126,-6.19725946008758,-11.1074603568621
"2015-08-27",5.41507765715674,0.940007258491471,0.139761942375159,1.05431202977153,-0.764696889400021,-9.24079957946089,-4.88607527416085,-10.0543104422707,-6.2121112182236,-11.0429218357245
"2015-08-28",5.44414781475958,0.955511445027436,0.173953307123438,1.0681530811834,-0.73058532343608,-9.28291106481102,-4.90182573323898,-10.1519489118346,-6.05163927014405,-11.176453228349
"2015-08-29",5.43712232942522,0.955511445027436,0.165514438477573,1.05779029414785,-0.741182629598502,-9.25116236649644,-4.85993341168276,-10.2891500333481,-5.96112934731191,-11.176453228349
"2015-08-30",5.43267341904712,0.940007258491471,0.27763173659828,1.04731899428056,-0.778685461270686,-9.1711196588229,-4.82208318755166,-10.3497746551645,-6.04782328077737,-11.0429218357245
"2015-08-31",5.43834014446786,0.947789398933526,0.307484699747961,1.04380405217311,-0.760916515159243,-9.27221577569427,-4.84291988969166,-10.4143131763021,-5.99990002592908,-11.176453228349
"2015-09-01",5.42987180628834,0.932164081030445,0.300104592450338,1.03673688495002,-0.779757910546578,-9.21034037197618,-4.8517103151087,-10.4143131763021,-6.01780852244758,-11.176453228349
"2015-09-02",5.43494396407986,0.920282753143692,0.254642218373581,1.02961941718116,-0.759109648361868,-9.33817374348607,-4.8665349501225,-10.4833060477891,-6.02274883714775,-11.176453228349
"2015-09-03",5.42574265480328,0.904218150639886,0.231111720963387,0.966983846189673,-0.778073460149546,-9.32687418823213,-4.9020948398068,-10.5966347330961,-6.04191609060408,-11.176453228349
"2015-09-04",5.43938280682664,0.896088024556636,0.2390169004705,0.993251773010283,-0.759556250082831,-9.24079957946089,-4.91237492492874,-10.5966347330961,-6.06575715168984,-11.0429218357245
"2015-09-05",5.45967061690579,0.920282753143692,0.29266961396282,1.07158361628019,-0.730653843536894,-9.36116326171077,-4.84596867254102,-10.6374567276163,-6.00111092415979,-11.176453228349
"2015-09-06",5.47997203435429,0.912282710476616,0.262364264467491,1.11514159061932,-0.682977071879495,-9.25116236649644,-4.84203240944324,-10.4482147279778,-5.98072245057608,-10.9822972139081
"2015-09-07",5.48001372794807,0.867100487683383,0.22314355131421,1.11514159061932,-0.694243781607151,-9.25116236649644,-4.8386166302982,-10.0543104422707,-6.01085126090817,-11.176453228349
"2015-09-08",5.4955685858963,0.845868267577609,0.215111379616945,1.11514159061932,-0.658935143756427,-9.22039070782968,-4.84966506321334,-9.45880173127468,-6.07484615604703,-11.3306039081763
"2015-09-09",5.47298470440513,0.89199803930511,0.19062035960865,1.07158361628019,-0.681196870800528,-9.31570088763401,-4.86939618240353,-9.94430954705638,-6.121573232455,-11.176453228349
"2015-09-10",5.47428544936982,0.867100487683383,0.157003748809665,1.08180517035173,-0.698668394448759,-9.30465105144742,-4.87135172699387,-9.94430954705638,-6.11566815056729,-10.9822972139081
"2015-09-11",5.48109715167269,0.867100487683383,-0.0171685395533721,1.08518926833597,-0.702541166201814,-9.27221577569427,-4.77429914899606,-10.0543104422707,-6.10530536353174,-11.0429218357245
"2015-09-12",5.46056375891094,0.887891257352457,0.0392207131532813,1.04027671165515,-0.764701186095433,-9.34960243930969,-4.80398704531124,-10.3190029964978,-6.10172594136552,-11.1074603568621
"2015-09-13",5.44029424544359,0.85015092936961,-0.0661365973814763,1.03673688495002,-0.770319844086512,-9.31570088763401,-4.76393147837303,-10.2601624964749,-6.13857341214619,-11.0429218357245
"2015-09-14",5.44085805333015,0.837247524533702,-0.132820788020932,1.04380405217311,-0.729211759548601,-9.31570088763401,-4.90573488427089,-10.2601624964749,-6.14741684888187,-11.1074603568621
"2015-09-15",5.43938280682664,0.841567185678219,-0.057194885093252,1.03673688495002,-0.688400464064823,-9.22039070782968,-4.86394091494545,-10.2601624964749,-6.12705520141433,-11.176453228349
"2015-09-16",5.43411493944526,0.86288995514704,-0.0974199037075834,1.02961941718116,-0.673395534955467,-9.15207146385221,-4.90276792322725,-10.4143131763021,-6.13811012744947,-11.1074603568621
"2015-09-17",5.43725288056881,0.86288995514704,-0.134410636188741,1.0681530811834,-0.703638017460193,-9.13337933084005,-4.91006623917456,-10.4143131763021,-6.1066509569171,-11.176453228349
"2015-09-18",5.45090968991121,0.900161349944271,-0.158193005695384,1.08518926833597,-0.692267567532938,-9.21034037197618,-4.88899304811415,-10.4143131763021,-6.09994102344407,-11.176453228349
"2015-09-19",5.44453667604901,0.858661619037519,-0.125120010550888,1.05431202977153,-0.700336965229328,-9.19053774468,-4.89525514305618,-10.4833060477891,-6.07702243546963,-11.176453228349
"2015-09-20",5.44332638845801,0.871293365943419,-0.0635310288284316,1.04731899428056,-0.721606327643908,-9.21034037197618,-4.87475042307589,-10.4833060477891,-6.10889764400008,-11.0429218357245
"2015-09-21",5.42534641467658,0.854415328156068,-0.0844180153879396,1.02961941718116,-0.733027951503449,-9.19053774468,-4.92716768885499,-10.4143131763021,-6.14601530695658,-11.176453228349
"2015-09-22",5.44077133434297,0.900161349944271,-0.103366948578288,1.04380405217311,-0.751138647174376,-8.94797610750869,-4.93812860330951,-10.3497746551645,-6.14788446637928,-11.1074603568621
"2015-09-23",5.43929595980761,0.887891257352457,-0.112714154169948,1.05431202977153,-0.766565544394306,-9.02801881518223,-5.01043531409359,-10.3497746551645,-6.17442630878936,-11.176453228349
"2015-09-24",5.45758351147349,0.89199803930511,-0.206274143271207,1.07500242302898,-0.757839313495205,-9.06192036685791,-5.00415632799855,-10.3190029964978,-6.18602064157028,-11.176453228349
"2015-09-25",5.4601810814396,0.896088024556636,-0.306222217014763,1.06125650212434,-0.795146684085593,-8.91767075801336,-5.01313842431437,-10.3815233534791,-6.18699293138922,-11.0429218357245
"2015-09-26",5.45677305224001,0.845868267577609,-0.24084428912857,1.06125650212434,-0.809445069592733,-8.94031323476312,-5.03579926775981,-10.3190029964978,-6.17972369656869,-11.0429218357245
"2015-09-27",5.45000787978847,0.858661619037519,-0.327339467603436,1.05431202977153,-0.826198688347617,-8.94797610750869,-5.03042992142444,-10.4143131763021,-6.18165699828251,-11.176453228349
"2015-09-28",5.47704915449143,0.867100487683383,-0.539763652060891,1.12167756159911,-0.800736845592788,-8.88103662483358,-5.06831737443734,-10.4482147279778,-6.17011285853564,-10.9822972139081
"2015-09-29",5.46675126805672,0.85015092936961,-0.413780586061889,1.08856195281461,-0.830532848512842,-8.81156425201882,-5.18874573011875,-10.4833060477891,-6.18747943103394,-11.0429218357245
