"","Bitcoin","Dash","Ethereum","Litecoin","Monero","NEM","Ripple","Siacon","Stellar","Verge"
"2015-08-30",228.76,2.56,1.32,2.85,0.459009,0.000104,0.00805,3.2e-05,0.002363,1.6e-05
"2015-09-06",239.84,2.49,1.3,3.05,0.505111,9.6e-05,0.007891,2.9e-05,0.002527,1.7e-05
"2015-09-13",230.51,2.34,0.936003,2.82,0.462865,9e-05,0.008532,3.5e-05,0.002158,1.6e-05
"2015-09-20",231.21,2.39,0.938445,2.85,0.485971,1e-04,0.007637,2.8e-05,0.002223,1.6e-05
"2015-09-27",232.76,2.36,0.720839,2.87,0.43771,0.00013,0.006536,3e-05,0.002067,1.4e-05
"2015-10-04",238.26,2.17,0.668379,3.01,0.400312,0.000122,0.005236,2.9e-05,0.002051,1.7e-05
"2015-10-11",247.05,2.39,0.634963,3.15,0.380724,0.000109,0.005182,3.5e-05,0.00211,1.4e-05
"2015-10-18",261.64,2.37,0.517734,3.02,0.409797,0.000124,0.004979,5e-05,0.001972,1.3e-05
"2015-10-25",283.68,2.17,0.616039,3.07,0.407067,0.000119,0.004556,3.4e-05,0.001886,1.4e-05
"2015-11-01",325.43,2.66,1.06,3.96,0.423505,0.00015,0.004901,3.6e-05,0.002128,1.6e-05
"2015-11-08",373.37,2.53,1.03,3.42,0.497654,0.000141,0.004647,3e-05,0.001943,1.5e-05
"2015-11-15",320.17,2.31,0.906368,3.07,0.43081,0.000112,0.004165,2.2e-05,0.001988,1.2e-05
"2015-11-22",324.54,2.06,0.968018,3.14,0.395824,1e-04,0.004267,2.6e-05,0.001972,1e-05
"2015-11-29",371.29,2.15,0.878614,3.67,0.401147,0.000104,0.004299,1.9e-05,0.00174,1.5e-05
"2015-12-06",388.78,2.34,0.8355,3.47,0.439947,0.000104,0.005344,1.9e-05,0.00192,1.6e-05
"2015-12-13",433.75,2.73,0.952884,3.63,0.465171,0.000143,0.008779,2.2e-05,0.002066,1.7e-05
"2015-12-20",442.69,2.49,0.903885,3.54,0.507456,0.000155,0.006235,1.8e-05,0.001746,2.4e-05
"2015-12-27",422.82,2.65,0.856365,3.48,0.451554,0.00015,0.006343,1.7e-05,0.00172,1.5e-05
"2016-01-10",447.99,3.29,0.999231,3.54,0.488578,0.000256,0.005956,2.7e-05,0.001765,1.4e-05
"2016-01-17",382.3,4.95,1.33,3.03,0.450774,0.000294,0.005266,1.9e-05,0.001714,8e-06
"2016-01-24",402.97,4.4,2.14,3.18,0.62205,0.000413,0.005219,2.8e-05,0.001723,9e-06
"2016-01-31",368.77,4.11,2.31,3.05,0.483429,0.000491,0.006399,2.2e-05,0.001776,1.5e-05
"2016-02-07",376.62,4.21,2.96,3.09,0.479407,0.000606,0.008338,3e-05,0.001852,1.9e-05
"2016-02-14",407.23,3.8,5.24,3.21,0.846403,0.000594,0.00859,0.00011,0.00219,3.3e-05
"2016-02-21",438.8,4,4.65,3.46,0.782148,0.000662,0.0081,7e-05,0.002157,7.5e-05
"2016-02-28",433.5,4,6.47,3.44,0.870485,0.000654,0.007889,7.4e-05,0.001981,5.2e-05
"2016-03-06",407.71,4.58,11.38,3.22,1.2,0.001043,0.00786,0.000106,0.001938,4.1e-05
"2016-03-13",414.06,5.68,14.47,3.31,1.24,0.001341,0.008635,9.5e-05,0.002177,0.000194
"2016-03-20",413.75,6.12,10.32,3.21,1.52,0.001239,0.00796,0.000141,0.002088,0.000137
"2016-03-27",426.76,7.05,10.42,3.3,1.53,0.001454,0.008029,0.000111,0.002027,0.000137
"2016-04-03",420.9,7,11.62,3.26,1.54,0.00136,0.007503,0.000114,0.00221,0.000125
"2016-04-10",421.56,6.54,8.94,3.23,1.1,0.0014,0.005937,9.3e-05,0.001882,0.000192
"2016-04-17",427.4,6.4,9.31,3.26,1.04,0.0015,0.006499,0.000111,0.001899,7.7e-05
"2016-04-24",458.56,6.44,8,3.63,1.01,0.001533,0.007251,9.2e-05,0.001912,5.9e-05
"2016-05-01",451.88,6.79,8.85,3.71,0.914293,0.001606,0.006791,8.6e-05,0.001883,5.1e-05
"2016-05-08",458.55,6.69,9.48,3.94,0.850586,0.001517,0.006404,0.000124,0.001796,4.8e-05
"2016-05-15",457.57,7,9.96,4.06,0.823823,0.00147,0.006061,0.000119,0.001762,3.7e-05
"2016-05-22",439.32,8.1,14.29,3.93,0.938764,0.001698,0.005936,0.000314,0.001626,3.2e-05
"2016-05-29",526.23,8.19,12.35,4.61,0.881719,0.001648,0.005662,0.000262,0.001497,2.6e-05
"2016-06-05",574.98,7.58,13.97,4.81,1,0.002003,0.005796,0.000424,0.001498,2.8e-05
"2016-06-12",672.78,7.66,15.74,5.33,1.25,0.002094,0.005852,0.000587,0.00162,2e-05
"2016-06-19",763.78,7.99,12.23,5.59,1.87,0.005004,0.006813,0.000939,0.001831,2.3e-05
"2016-06-26",629.37,6.78,13.85,4.07,1.48,0.006817,0.0064,0.001002,0.002026,2.6e-05
"2016-07-03",658.66,7.01,11.72,4.25,1.7,0.010768,0.006607,0.000783,0.001928,3.3e-05
"2016-07-10",649.36,7.42,10.95,4.1,1.91,0.00815,0.006674,0.000671,0.001852,3.2e-05
"2016-07-17",679.46,8.12,11.16,4.19,1.99,0.00772,0.006538,0.000697,0.001925,2.8e-05
"2016-07-24",661.28,9.21,12.75,4.07,1.88,0.006881,0.006286,0.000667,0.002253,2.7e-05
"2016-07-31",624.68,9.51,11.88,4.01,1.82,0.006658,0.005945,0.000631,0.001916,1.9e-05
"2016-08-07",592.69,10.35,10.91,3.78,1.9,0.005018,0.006178,0.000542,0.001888,1.9e-05
"2016-08-14",570.47,14.48,11.19,3.65,2.01,0.006493,0.005994,0.000506,0.002005,1.7e-05
"2016-08-21",581.31,13.41,11.18,3.62,2.54,0.006325,0.006052,0.000506,0.001908,2.3e-05
"2016-08-28",573.91,12.42,10.93,3.74,9.51,0.005945,0.005963,0.000443,0.001808,1.7e-05
"2016-09-04",608.63,11.39,11.68,4.01,13.39,0.005647,0.005954,0.000452,0.001934,1.9e-05
"2016-09-11",606.72,11.14,11.64,3.86,10.69,0.005716,0.005842,0.000502,0.001966,3e-05
"2016-09-18",609.87,11.64,12.43,4.04,9.45,0.005174,0.006853,5e-04,0.00209,3.1e-05
"2016-09-25",600.83,11.55,13.1,3.81,10.24,0.005066,0.007855,0.000487,0.002454,2.4e-05
"2016-10-02",610.89,11.78,13.2,3.84,8.3,0.004311,0.008165,0.00046,0.002867,2.4e-05
"2016-10-09",616.75,11.59,12.05,3.82,7.48,0.003877,0.007543,0.000452,0.002376,2.5e-05
"2016-10-16",641.63,10.85,11.95,3.89,6.38,0.003988,0.008078,0.000414,0.002418,2.6e-05
"2016-10-23",657.07,9.96,12.04,3.92,6.51,0.003751,0.009454,0.000435,0.002438,2.6e-05
"2016-10-30",701.86,9.67,11.18,4.03,5.57,0.003712,0.008014,0.00038,0.002127,2.1e-05
"2016-11-06",711.52,9.4,10.87,3.89,4.97,0.003706,0.008193,0.000351,0.001959,2.8e-05
"2016-11-13",702.03,9.49,10.1,3.88,7.1,0.004647,0.008257,0.000321,0.001896,2.5e-05
"2016-11-20",731.03,8.51,9.58,3.92,6.58,0.003943,0.007651,0.000278,0.00176,2.2e-05
"2016-11-27",732.03,9.09,9,3.88,7.93,0.003671,0.007074,0.000244,0.001665,2.2e-05
"2016-12-04",773.87,8.82,7.44,3.9,7.8,0.003563,0.006527,0.000204,0.001532,1.5e-05
"2016-12-11",769.73,9.54,8.19,3.64,7.91,0.00344,0.006744,0.00023,0.002353,2.3e-05
"2016-12-18",790.53,9.89,7.87,3.68,8.61,0.003819,0.006574,0.000205,0.0029,1.6e-05
"2016-12-25",896.18,10.01,7.18,4.35,9.73,0.003606,0.006444,0.000207,0.002578,2.1e-05
"2017-01-01",998.33,11.23,8.17,4.51,13.97,0.00344,0.006368,0.00023,0.002481,2.2e-05
"2017-01-08",911.2,12.54,10.29,3.99,13.47,0.003421,0.006233,0.000351,0.002355,1.8e-05
"2017-01-15",821.8,12.39,9.9,3.93,10.76,0.003667,0.006726,0.000351,0.002441,1.7e-05
"2017-01-22",924.67,15.11,10.7,3.84,12.18,0.003696,0.006713,0.00036,0.002336,1.8e-05
"2017-01-29",919.5,15.51,10.48,3.85,12.66,0.005164,0.006402,0.000369,0.002225,1.9e-05
"2017-02-05",1027.34,17.06,11.35,4.04,12.8,0.006389,0.006442,0.000401,0.002344,2.1e-05
"2017-02-12",999.18,16.91,11.4,3.76,12.33,0.0069,0.006269,0.000371,0.00209,2e-05
"2017-02-19",1047.87,22.55,12.76,3.76,12.99,0.006352,0.005878,0.000339,0.002014,2.2e-05
"2017-02-26",1165.2,28.11,14.52,3.83,11.89,0.006447,0.005671,0.000327,0.001875,2.3e-05
"2017-03-05",1267.12,42.31,19.3,3.9,15.18,0.011338,0.006129,0.000349,0.001738,2.5e-05
"2017-03-12",1221.38,77.08,23.44,3.84,16.79,0.009894,0.006255,0.000367,0.001847,3e-05
"2017-03-19",1036.74,108.23,44.74,3.96,23.29,0.016474,0.006912,0.000403,0.001916,2.1e-05
"2017-03-26",966.73,93.63,50.52,4.06,19.61,0.013527,0.009545,0.00061,0.002018,2.9e-05
"2017-04-02",1102.17,57.07,48.75,7.74,20.14,0.016086,0.061159,0.000615,0.004183,4.4e-05
"2017-04-09",1187.87,64.7,43.27,8.71,20.68,0.020015,0.03402,0.000588,0.002745,4.7e-05
"2017-04-16",1182.94,75.34,48.72,10.71,20.46,0.024114,0.033462,0.000878,0.003737,0.00013
"2017-04-23",1207.21,68.89,48.49,13.94,19.72,0.031441,0.031278,0.00076,0.003506,9.7e-05
"2017-04-30",1347.89,91.55,79.02,15.71,23.72,0.050966,0.051607,0.001248,0.00484,8.1e-05
"2017-05-07",1596.71,106.28,94.01,30.29,32.78,0.099328,0.141763,0.002518,0.043984,8e-05
"2017-05-14",1808.91,89.8,90.79,28.89,28.53,0.125946,0.220223,0.002723,0.038648,0.000161
"2017-05-21",2041.2,102.03,157.94,26.3,34.64,0.244041,0.336201,0.01067,0.060843,0.000974
"2017-05-28",2155.8,108.14,170.51,24.22,36.84,0.208126,0.229554,0.006738,0.035364,0.000935
"2017-06-04",2511.81,143.35,245.33,27.94,42.9,0.215562,0.299413,0.014407,0.039989,0.004455
"2017-06-11",2958.11,188.27,340.61,33.22,58.7,0.218017,0.272759,0.01524,0.045915,0.003871
"2017-06-18",2548.29,193.53,371.46,46.04,49.6,0.198033,0.2846,0.015913,0.038332,0.003448
"2017-06-25",2589.41,172.88,303.25,43.92,45.89,0.177182,0.298423,0.016173,0.033373,0.003301
"2017-07-02",2506.47,173.49,287.99,41.57,42.79,0.159311,0.259449,0.013083,0.025706,0.002924
"2017-07-09",2518.44,195.64,242.14,49.58,44.85,0.152993,0.233416,0.009782,0.019499,0.003651
