"","Close"
"Jan 2000",7131.6
"Feb 2000",6676.9
"Mar 2000",6571.9
"Apr 2000",6166.9
"May 2000",6688.5
"Jun 2000",6828.2
"Jul 2000",6830.4
"Aug 2000",7387.8
"Sep 2000",7607.2
"Oct 2000",7269.1
"Nov 2000",6777.2
"Dec 2000",6785.7
"Jan 2001",6453.6
"Feb 2001",6435.3
"Mar 2001",5962.2
"Apr 2001",5512.1
"May 2001",5743.2
"Jun 2001",5881.9
"Jul 2001",6050.2
"Aug 2001",6170.7
"Sep 2001",6262
"Oct 2001",6479.8
"Nov 2001",6652.8
"Dec 2001",7277.7
"Jan 2002",7224.4
"Feb 2002",7010.1
"Mar 2002",7054.4
"Apr 2002",6721.8
"May 2002",6593.2
"Jun 2002",6603.9
"Jul 2002",7107.7
"Aug 2002",7376
"Sep 2002",7173.7
"Oct 2002",7323.2
"Nov 2002",7230.7
"Dec 2002",7364.9
"Jan 2003",7162.5
"Feb 2003",7250.6
"Mar 2003",7543.3
"Apr 2003",7642.1
"May 2003",7932.1
"Jun 2003",7686
"Jul 2003",6969.2
"Aug 2003",7628.6
"Sep 2003",7792.2
"Oct 2003",8053.4
"Nov 2003",8538.7
"Dec 2003",9044.3
"Jan 2004",8971.1
"Feb 2004",8760.9
"Mar 2004",8387.8
"Apr 2004",8149.2
"May 2004",7972.4
"Jun 2004",7831.1
"Jul 2004",8005.8
"Aug 2004",7923.7
"Sep 2004",7468.9
"Oct 2004",7018.6
"Nov 2004",6832
"Dec 2004",6487.7
"Jan 2005",6839.3
"Feb 2005",6370.8
"Mar 2005",5792.9
"Apr 2005",5806.1
"May 2005",5414.6
"Jun 2005",5344.5
"Jul 2005",5467.3
"Aug 2005",5526.6
"Sep 2005",5620.6
"Oct 2005",5955.5
"Nov 2005",5998.8
"Dec 2005",6215.4
"Jan 2006",6297.1
"Feb 2006",6261.6
"Mar 2006",6215.8
"Apr 2006",5897.4
"May 2006",6236.2
"Jun 2006",6276.6
"Jul 2006",6610.5
"Aug 2006",6623.3
"Sep 2006",6631.5
"Oct 2006",6630.3
"Nov 2006",6549.9
"Dec 2006",6948.9
"Jan 2007",6728.5
"Feb 2007",6473.6
"Mar 2007",6689.2
"Apr 2007",6865.2
"May 2007",6958.4
"Jun 2007",7240.7
"Jul 2007",7593.7
"Aug 2007",7255.7
"Sep 2007",7234.5
"Oct 2007",7426.5
"Nov 2007",7452
"Dec 2007",7399.8
"Jan 2008",7590.4
"Feb 2008",8065.7
"Mar 2008",8520.7
"Apr 2008",8781.7
"May 2008",8827.5
"Jun 2008",9067
"Jul 2008",8990
"Aug 2008",9285.9
"Sep 2008",9845.2
"Oct 2008",9881.8
"Nov 2008",10077
"Dec 2008",10018
"Jan 2009",10256
"Feb 2009",10162
"Mar 2009",10164
"Apr 2009",10299
"May 2009",10920
"Jun 2009",11111
"Jul 2009",12241
"Aug 2009",12536
"Sep 2009",12513
"Oct 2009",12350
"Nov 2009",13516
"Dec 2009",12616
"Jan 2010",13274
"Feb 2010",13846
"Mar 2010",13974
"Apr 2010",13721
"May 2010",13865
"Jun 2010",13718
"Jul 2010",13993
"Aug 2010",14598
"Sep 2010",14442
"Oct 2010",14477
"Nov 2010",13952
"Dec 2010",14569
"Jan 2011",15588
"Feb 2011",15902
"Mar 2011",17074
"Apr 2011",16198
"May 2011",15788
"Jun 2011",15890
