"","Close"
"2000-01-02",6826.9
"2000-01-09",6705.7
"2000-01-16",6736.6
"2000-01-23",7073.1
"2000-01-30",7191.7
"2000-02-06",7151.8
"2000-02-13",7038.6
"2000-02-20",6831
"2000-02-27",6687.1
"2000-03-05",6721.4
"2000-03-12",6629.8
"2000-03-19",6659.6
"2000-03-26",6647.8
"2000-04-02",6585.7
"2000-04-09",6716.8
"2000-04-16",6714
"2000-04-23",6353.7
"2000-04-30",6166.9
"2000-05-07",6407.1
"2000-05-14",6474.6
"2000-05-21",6516.4
"2000-05-28",6690.6
"2000-06-04",6721.5
"2000-06-11",6859.7
"2000-06-18",6859.4
"2000-06-25",6664.7
"2000-07-02",6905.2
"2000-07-09",6951.6
"2000-07-16",6851.7
"2000-07-23",6945.3
"2000-07-30",6869.8
"2000-08-06",7037.6
"2000-08-13",7229.7
"2000-08-20",7421
"2000-08-27",7547.1
"2000-09-03",7504.7
"2000-09-10",7502.7
"2000-09-17",7499.6
"2000-09-24",7542.5
"2000-10-01",7660.8
"2000-10-08",7659.3
"2000-10-15",7500.5
"2000-10-22",7386.3
"2000-10-29",7411.8
"2000-11-05",6890.6
"2000-11-12",6947.4
"2000-11-19",6597.1
"2000-11-26",6826.4
"2000-12-03",6791.3
"2000-12-10",6960.6
"2000-12-17",6944.5
"2000-12-24",6717.4
"2000-12-31",6785.7
"2001-01-07",6581.9
"2001-01-14",6243.6
"2001-01-21",6396.2
"2001-01-28",6463.3
"2001-02-04",6532.1
"2001-02-11",6392
"2001-02-18",6479.3
"2001-02-25",6398.9
"2001-03-04",6446
"2001-03-11",6438.8
"2001-03-18",6487.8
"2001-03-25",6347.8
"2001-04-01",5995.8
"2001-04-08",5928.9
"2001-04-15",5986.7
"2001-04-22",5822.6
"2001-04-29",5482.7
"2001-05-06",5807.6
"2001-05-13",5730.6
"2001-05-20",5711.6
"2001-05-27",5698.1
"2001-06-03",5585.2
"2001-06-10",5509.4
"2001-06-17",5429.8
"2001-06-24",5748
"2001-07-01",5853.3
"2001-07-08",5838.7
"2001-07-15",5757.5
"2001-07-22",6007
"2001-07-29",6003.2
"2001-08-05",5947.7
"2001-08-12",5867.2
"2001-08-19",5958.6
"2001-08-26",6084.5
"2001-09-02",6219.3
"2001-09-09",6271.4
"2001-09-16",6086.6
"2001-09-23",6238.6
"2001-09-30",6262
"2001-10-07",6151
"2001-10-14",6444.8
"2001-10-21",6327.7
"2001-10-28",6353.6
"2001-11-04",6461.6
"2001-11-11",6606.5
"2001-11-18",6585.9
"2001-11-25",6573.2
"2001-12-02",6695.9
"2001-12-09",6906.1
"2001-12-16",6951.8
"2001-12-23",7050
"2001-12-30",7145.7
"2002-01-06",7147.2
"2002-01-13",7069.2
"2002-01-20",7005.1
"2002-01-27",7137.9
"2002-02-03",7292.9
"2002-02-10",7380.6
"2002-02-17",7308
"2002-02-24",7076.2
"2002-03-03",7184.7
"2002-03-10",7233.5
"2002-03-17",7231.7
"2002-03-24",7282.1
"2002-03-31",7054.4
"2002-04-07",6938.9
"2002-04-14",6780.7
"2002-04-21",6666.5
"2002-04-28",6719.6
"2002-05-05",6901.9
"2002-05-12",6880.4
"2002-05-19",6886.9
"2002-05-26",6543.7
"2002-06-02",6548.3
"2002-06-09",6482.9
"2002-06-16",6388.8
"2002-06-23",6527.5
"2002-06-30",6603.9
"2002-07-07",6589.1
"2002-07-14",6820.3
"2002-07-21",7180.4
"2002-07-28",7187.9
"2002-08-04",7126.4
"2002-08-11",7198.5
"2002-08-18",7208.7
"2002-08-25",7491.6
"2002-09-01",7389.3
"2002-09-08",7429.9
"2002-09-15",7282.4
"2002-09-22",7186.6
"2002-09-29",7195.8
"2002-10-06",7336.6
"2002-10-13",7191
"2002-10-20",7204
"2002-10-27",7264.8
"2002-11-03",7453.8
"2002-11-10",7453
"2002-11-17",7510.4
"2002-11-24",7396.5
"2002-12-01",7297.6
"2002-12-08",7204.3
"2002-12-15",7353.3
"2002-12-22",7515.5
"2002-12-29",7321.8
"2003-01-05",7339.1
"2003-01-12",7294
"2003-01-19",7401.8
"2003-01-26",7355
"2003-02-02",7230.8
"2003-02-09",7179
"2003-02-16",7135.4
"2003-02-23",7031.9
"2003-03-02",7267.4
"2003-03-09",7356.6
"2003-03-16",7391.3
"2003-03-23",7362.4
"2003-03-30",7533.5
"2003-04-06",7618.7
"2003-04-13",7752.9
"2003-04-20",7712
"2003-04-27",7739.4
"2003-05-04",7599.8
"2003-05-11",7739.8
"2003-05-18",7649.2
"2003-05-25",7822.5
"2003-06-01",7967.9
"2003-06-08",7952.3
"2003-06-15",7812
"2003-06-22",7722.5
"2003-06-29",7732.3
"2003-07-06",7671.8
"2003-07-13",7403.5
"2003-07-20",7235.1
"2003-07-27",7120.7
"2003-08-03",7114.7
"2003-08-10",7156.9
"2003-08-17",7484.9
"2003-08-24",7329.9
"2003-08-31",7628.6
"2003-09-07",7614.8
"2003-09-14",7735.2
