"","Log-Returns"
"2000-01-09",-0.0179127796204988
"2000-01-16",0.00459743562132253
"2000-01-23",0.0487435096188022
"2000-01-30",0.0166287270586345
"2000-02-06",-0.00556351001045563
"2000-02-13",-0.0159547865167973
"2000-02-20",-0.029938211007881
"2000-02-27",-0.0212907784005729
"2000-03-05",0.00511616882087651
"2000-03-12",-0.0137218283397633
"2000-03-19",0.00448478485830783
"2000-03-26",-0.00177344982381378
"2000-04-02",-0.00938534111720735
"2000-04-09",0.0197112188966369
"2000-04-16",-0.000416952086332856
"2000-04-23",-0.0551575781783153
"2000-04-30",-0.0298410398413544
"2000-05-07",0.0382104699257368
"2000-05-14",0.0104800791516961
"2000-05-21",0.00643524659427008
"2000-05-28",0.0263814800073572
"2000-06-04",0.00460778769493686
"2000-06-11",0.0203523650909361
"2000-06-18",-4.37346473241007e-05
"2000-06-25",-0.0287950329909599
"2000-07-02",0.0354498095954341
"2000-07-09",0.00669709794818552
"2000-07-16",-0.0144750522421937
"2000-07-23",0.0135683751513902
"2000-07-30",-0.0109301780886604
"2000-08-06",0.0241322092273499
"2000-08-13",0.0269303385775199
"2000-08-20",0.0261162774541486
"2000-08-27",0.0168495645250815
"2000-09-03",-0.0056338925777073
"2000-09-10",-0.000266535177559035
"2000-09-17",-0.000413269971152985
"2000-09-24",0.0057040062644198
"2000-10-01",0.0155627248903834
"2000-10-08",-0.000195821176728117
"2000-10-15",-0.0209509107779269
"2000-10-22",-0.0153427519970588
"2000-10-29",0.00344639179893669
"2000-11-05",-0.0729151608260068
"2000-11-12",0.00820932490146653
"2000-11-19",-0.051737330332962
"2000-11-26",0.034167289709055
"2000-12-03",-0.00515506696887158
"2000-12-10",0.0246232962559123
"2000-12-17",-0.00231569815314181
"2000-12-24",-0.0332488044679415
"2000-12-31",0.0101162818137137
"2001-01-07",-0.030493999264646
"2001-01-14",-0.0527665183531418
"2001-01-21",0.0241471249241698
"2001-01-28",0.0104359592492855
"2001-02-04",0.0105884609622429
"2001-02-11",-0.0216812757738456
"2001-02-18",0.0135652713737642
"2001-02-25",-0.0124863792443115
"2001-03-04",0.00733368279981939
"2001-03-11",-0.00111759604330786
"2001-03-18",0.0075813028474716
"2001-03-25",-0.0218151940157085
"2001-04-01",-0.0570490720680397
"2001-04-08",-0.0112205257812992
"2001-04-15",0.00970164378681204
"2001-04-22",-0.0277934447371866
"2001-04-29",-0.0601492170292879
"2001-05-06",0.0575697242746962
"2001-05-13",-0.0133471673407861
"2001-05-20",-0.00332104271260647
"2001-05-27",-0.00236640863473703
"2001-06-03",-0.0200125438533636
"2001-06-10",-0.0136645177723036
"2001-06-17",-0.014553423458608
"2001-06-24",0.0569496673617866
"2001-07-01",0.0181536365450476
"2001-07-08",-0.00249743544108227
"2001-07-15",-0.0140048166080398
"2001-07-22",0.0424221031553209
"2001-07-29",-0.0006327954783103
"2001-08-05",-0.00928807018552114
"2001-08-12",-0.0136270718692693
"2001-08-19",0.0154580358203074
"2001-08-26",0.0209089996394862
"2001-09-02",0.021912806430322
"2001-09-09",0.00834225498173957
"2001-09-16",-0.0299099816705688
"2001-09-23",0.0246661646985284
"2001-09-30",0.00374382466947587
"2001-10-07",-0.0178849526779832
"2001-10-14",0.0466589338758201
"2001-10-21",-0.0183367831043775
"2001-10-28",0.00408476039717698
"2001-11-04",0.0168553837510981
"2001-11-11",0.0221770477261849
"2001-11-18",-0.00312301275628357
"2001-11-25",-0.00193022379085228
"2001-12-02",0.0184946224615317
"2001-12-09",0.0309096802386133
"2001-12-16",0.00659553982446681
"2001-12-23",0.0140269979745682
"2001-12-30",0.0134831603676631
"2002-01-06",0.000209894423877088
"2002-01-13",-0.0109733522822122
"2002-01-20",-0.00910886412894207
"2002-01-27",0.0187801602387925
"2002-02-03",0.0214826566863149
"2002-02-10",0.0119536639909867
"2002-02-17",-0.00988529760489776
"2002-02-24",-0.0322325980614107
"2002-03-03",0.015216724551486
"2002-03-10",0.00676924808167279
"2002-03-17",-0.000248873158932739
"2002-03-24",0.0069451422214506
"2002-03-31",-0.0317677465284891
"2002-04-07",-0.0165082751064265
"2002-04-14",-0.0230629190544303
"2002-04-21",-0.0169853568873037
"2002-04-28",0.00793364438054489
"2002-05-05",0.0267681070628871
"2002-05-12",-0.0031199462267093
"2002-05-19",0.000944266556691886
"2002-05-26",-0.0511183016179739
"2002-06-02",0.000702719246760353
"2002-06-09",-0.0100375328592666
"2002-06-16",-0.0146214837894902
"2002-06-23",0.0214775642643268
"2002-06-30",0.0116363620141104
